37.5%	12843.2	219.043		
43.75%	12079.9	199.154		
50%	11973.5	183.464		
56.25%	11937	156.337		
62.5%	11960.2	147.679		
68.75%	12082.7	139.357		
75%	12313.8	134.004		
81.25%	12726.4	129.333		
87.5%	13584.1	125.183		
93.75%	14540.5	121.666		
100%	16014.3	120.268		
				
				
				
37.5%	0.8019832275	1.8212907839	1.4606446611	2.6602586598
43.75%	0.7543195769	1.6559184488	1.2490917037	2.0683939964
50%	0.747675515	1.5254598064	1.1405489464	1.7398615749
56.25%	0.7453963021	1.2999052117	0.9689445379	1.2595360546
62.5%	0.7468450073	1.2279159876	0.9170629247	1.1260762269
68.75%	0.7544944206	1.1587205242	0.8742481705	1.0130092985
75%	0.768925273	1.1142115941	0.8567454542	0.9545957182
81.25%	0.794689746	1.0753733329	0.8545881608	0.9190013187
87.5%	0.8482481282	1.0408670636	0.8829135384	0.9189956221
93.75%	0.907969752	1.0116240396	0.9185240284	0.929200988
100%	1	1	1	1
