37.5%	18177.6	341.043
43.75%	16942	312.853
50%	16700.6	292.774
56.25%	16851.5	272.153
62.5%	17014.7	263.25
68.75%	17701.4	247.989
75%	18568.4	238.513
81.25%	18727.2	228.768
87.5%	20201.1	223.798
93.75%	21962	218.671
100%	23923.2	220.415
		
		
37.5%	0.7598314607	1.547276728
43.75%	0.7081828518	1.419381621
50%	0.6980922285	1.32828528
56.25%	0.7043999131	1.2347299412
62.5%	0.7112217429	1.1943379534
68.75%	0.7399260968	1.1251003788
75%	0.776167068	1.0821087494
81.25%	0.7828049759	1.0378966949
87.5%	0.8444146268	1.0153483202
93.75%	0.9180210005	0.9920876528
100%	1	1
